DOI,  "DOI_Stub"
10.1007/s10450-013-9579-3, 10.1007s1045001395793
10.1007/s10450-013-9583-7, 10.1007s1045001395837
10.1007/s10450-013-9592-6, 10.1007s1045001395926
10.1007/s10450-013-9595-3, 10.1007s1045001395953
10.1007/s10450-014-9620-1, 10.1007s1045001496201
10.1007/s10450-014-9639-3, 10.1007s1045001496393
10.1007/s10450-015-9651-2, 10.1007s1045001596512
10.1007/s10450-015-9658-8, 10.1007s1045001596588
10.1007/s10450-015-9684-6, 10.1007s1045001596846
10.1007/s10450-015-9707-3, 10.1007s1045001597073
10.1007/s10450-016-9793-x, 10.1007s104500169793x
10.1007/s10450-016-9818-5, 10.1007s1045001698185
10.1007/s10450-016-9819-4, 10.1007s1045001698194
10.1007/s10450-016-9821-x, 10.1007s104500169821x
10.1007/s10450-016-9825-6, 10.1007s1045001698256
10.1007/s10450-016-9829-2, 10.1007s1045001698292
10.1007/s10450-016-9841-6, 10.1007s1045001698416
10.1007/s10450-016-9845-2, 10.1007s1045001698452
10.1007/s10450-016-9847-0, 10.1007s1045001698470
10.1007/s10450-016-9850-5, 10.1007s1045001698505
10.1007/s10450-017-9861-x, 10.1007s104500179861x
10.1007/s10450-017-9862-9, 10.1007s1045001798629
10.1007/s10450-017-9867-4, 10.1007s1045001798674
10.1007/s10450-017-9871-8, 10.1007s1045001798718
10.1007/s10450-017-9882-5, 10.1007s1045001798825
10.1007/s10450-017-9885-2, 10.1007s1045001798852
10.1007/s10450-017-9889-y, 10.1007s104500179889y
10.1007/s10450-017-9894-1, 10.1007s1045001798941
10.1007/s10450-017-9907-0, 10.1007s1045001799070
10.1007/s10450-017-9908-z, 10.1007s104500179908z
10.1007/s10450-017-9910-5, 10.1007s1045001799105
10.1007/s10450-017-9911-4, 10.1007s1045001799114
10.1007/s10450-017-9914-1, 10.1007s1045001799141
10.1007/s10450-017-9915-0, 10.1007s1045001799150
10.1007/s10450-017-9917-y, 10.1007s104500179917y
10.1007/s10450-017-9918-x, 10.1007s104500179918x
10.1007/s10450-017-9922-1, 10.1007s1045001799221
10.1007/s10450-017-9923-0, 10.1007s1045001799230
10.1007/s10450-017-9925-y, 10.1007s104500179925y
10.1007/s10450-017-9927-9, 10.1007s1045001799279
10.1007/s10450-017-9928-8, 10.1007s1045001799288
10.1007/s10450-017-9929-7, 10.1007s1045001799297
10.1007/s10450-017-9931-0, 10.1007s1045001799310
10.1007/s10450-018-00004-2, 10.1007s10450018000042
10.1007/s10450-018-0001-z, 10.1007s104500180001z
10.1007/s10450-018-9933-6, 10.1007s1045001899336
10.1007/s10450-018-9935-4, 10.1007s1045001899354
10.1007/s10450-018-9938-1, 10.1007s1045001899381
10.1007/s10450-018-9943-4, 10.1007s1045001899434
10.1007/s10450-018-9947-0, 10.1007s1045001899470
10.1007/s10450-018-9948-z, 10.1007s104500189948z
10.1007/s10450-018-9952-3, 10.1007s1045001899523
10.1007/s10450-018-9953-2, 10.1007s1045001899532
10.1007/s10450-018-9958-x, 10.1007s104500189958x
10.1007/s10450-018-9959-9, 10.1007s1045001899599
10.1007/s10450-018-9962-1, 10.1007s1045001899621
10.1007/s10450-018-9966-x, 10.1007s104500189966x
10.1007/s10450-018-9973-y, 10.1007s104500189973y
10.1007/s10450-018-9980-z, 10.1007s104500189980z
10.1007/s10450-018-9981-y, 10.1007s104500189981y
10.1007/s10450-018-9983-9, 10.1007s1045001899839
10.1007/s10450-018-9984-8, 10.1007s1045001899848
10.1007/s10450-018-9995-5, 10.1007s1045001899955
10.1007/s10450-018-9996-4, 10.1007s1045001899964
10.1007/s10450-019-00013-9, 10.1007s10450019000139
10.1007/s10450-019-00015-7, 10.1007s10450019000157
10.1007/s10450-019-00016-6, 10.1007s10450019000166
10.1007/s10450-019-00020-w, 10.1007s1045001900020w
10.1007/s10450-019-00022-8, 10.1007s10450019000228
10.1007/s10450-019-00028-2, 10.1007s10450019000282
10.1007/s10450-019-00033-5, 10.1007s10450019000335
10.1007/s10450-019-00039-z, 10.1007s1045001900039z
10.1007/s10450-019-00055-z, 10.1007s1045001900055z
10.1007/s10450-019-00063-z, 10.1007s1045001900063z
10.1007/s10450-019-00064-y, 10.1007s1045001900064y
10.1007/s10450-019-00066-w, 10.1007s1045001900066w
10.1007/s10450-019-00068-8, 10.1007s10450019000688
10.1007/s10450-019-00074-w, 10.1007s1045001900074w
10.1007/s10450-019-00075-9, 10.1007s10450019000759
10.1007/s10450-019-00086-6, 10.1007s10450019000866
10.1007/s10450-019-00093-7, 10.1007s10450019000937
10.1007/s10450-019-00100-x, 10.1007s1045001900100x
10.1007/s10450-019-00118-1, 10.1007s10450019001181
10.1007/s10450-019-00122-5, 10.1007s10450019001225
10.1007/s10450-019-00124-3, 10.1007s10450019001243
10.1007/s10450-019-00133-2, 10.1007s10450019001332
10.1007/s10450-019-00141-2, 10.1007s10450019001412
10.1007/s10450-019-00143-0, 10.1007s10450019001430
10.1007/s10450-019-00145-y, 10.1007s1045001900145y
10.1007/s10450-019-00159-6, 10.1007s10450019001596
10.1007/s10450-019-00162-x, 10.1007s1045001900162x
10.1007/s10450-019-00176-5, 10.1007s10450019001765
10.1007/s10450-019-00185-4, 10.1007s10450019001854
10.1007/s10450-019-00191-6, 10.1007s10450019001916
10.1007/s10450-019-00192-5, 10.1007s10450019001925
10.1007/s10450-020-00199-3, 10.1007s10450020001993
10.1007/s10450-020-00200-z, 10.1007s1045002000200z
10.1007/s10450-020-00205-8, 10.1007s10450020002058
10.1007/s10450-020-00215-6, 10.1007s10450020002156
10.1007/s10450-020-00219-2, 10.1007s10450020002192
10.1007/s10450-020-00228-1, 10.1007s10450020002281
10.1007/s10450-020-00230-7, 10.1007s10450020002307
10.1007/s10450-020-00236-1, 10.1007s10450020002361
10.1007/s10450-020-00245-0, 10.1007s10450020002450
